ISIN,Coupon,Issue Date,Maturity Date,2/1/2021,1/29/2021,1/28/2021,1/27/2021,1/26/2021,1/25/2021,1/22/2021,1/21/2021,1/20/2021,1/19/2021,1/18/2021,,
CA135087A610,1.5%,7/30/2012,6/1/2023,103.085,103.075,103.095,103.095,103.065,103.06,103.09,103.085,103.10,103.14,103.15,,
CA135087F254,0.75%,10/19/2015,3/1/2021,100.053,100.054,100.056,100.062,100.062,100.064,100.067,100.068,100.074,100.078,100.082,,
CA135087F585,0.75%,4/11/2016,9/1/2021,100.053,100.054,100.056,100.062,100.062,100.064,100.067,100.068,100.074,100.078,100.082,,
CA135087G328,0.5%,10/11/2016,3/1/2022,100.417,100.408,100.405,100.406,100.396,100.392,100.407,100.404,100.409,100.432,100.447,,
CA135087H490,1.75%,10/6/2017,3/1/2023,103.255,103.245,103.245,103.25,103.225,103.215,103.245,103.235,103.25,103.28,103.29,,
CA135087J629,2.25%,11/9/2018,2/1/2021,100.01,100.01,100.01,100.01,100.02,100.02,100.03,100.03,100.05,100.06,100.06,,
CA135087J884,1.75%,2/11/2019,5/1/2021,100.409,100.412,100.416,100.429,100.431,100.434,100.442,100.446,100.46,100.47,100.478,,
CA135087K296,1.5%,5/6/2019,8/1/2021,100.697,100.696,100.699,100.709,100.706,100.708,100.719,100.721,100.732,100.748,100.757,,
CA135087K452,1.25%,8/9/2019,11/1/2021,100.85,100.846,100.848,100.857,100.849,100.849,100.863,100.864,100.874,100.894,100.904,,
CA135087K601,1.5%,11/4/2019,2/1/2022,101.382,101.377,101.377,101.388,101.378,101.377,101.393,101.392,101.404,101.431,101.443,,
CA135087K452,1.25%,8/9/2019,11/1/2021,100.85,100.846,100.848,100.857,100.849,100.849,100.863,100.864,100.874,100.894,100.904,,
CA135087K601,1.5%,11/4/2019,2/1/2022,101.382,101.377,101.377,101.388,101.378,101.377,101.393,101.392,101.404,101.431,101.443,,
CA135087K866,1.5%,1/27/2020,5/1/2022,101.718,101.71,101.708,101.719,101.705,101.703,101.724,101.723,101.736,101.765,101.779,,
CA135087L286,0.25%,5/4/2020,8/1/2022,100.191,100.176,100.17,100.17,100.149,100.137,100.16,100.154,100.156,100.187,100.196,,
CA135087L369,0.25%,8/17/2020,11/1/2022,100.164,100.148,100.144,100.144,100.12,100.113,100.139,100.133,100.134,100.166,100.172,,
CA135087L773,0.25%,10/26/2020,2/1/2023,100.14,100.125,100.125,100.125,100.095,100.075,100.10,100.095,100.095,100.125,100.13,,
CA135087TZ75,10.5%,12/15/1990,3/15/2021,101.168,101.195,101.223,101.308,101.334,101.362,101.392,101.42,101.505,101.537,101.566,,
CA135087UE28,9.75%,5/9/1991,6/1/2021,103.108,103.132,103.157,103.235,103.257,103.281,103.312,103.337,103.416,103.45,103.48,,
CA135087UM44,9.25%,12/15/1991,6/1/2021,111.982,111.994,112.009,112.083,112.087,112.106,112.152,112.169,112.248,112.301,112.336,,
CA135087UT96,8.0%,8/17/1992,6/1/2023,117.94,117.94,117.98,118.04,118.025,118.03,118.085,118.095,118.165,118.22,118.245,,
CA135087ZJ69,3.25%,7/19/2020,6/1/2021,100.782,100.787,100.796,100.821,100.825,100.831,100.844,100.855,100.884,100.898,100.906,,
CA135087ZU15,2.75%,8/2/2011,6/1/2022,103.246,103.242,103.255,103.273,103.26,103.261,103.283,103.286,103.311,103.346,103.36,,
CA135087B451,2.5%,7/2/2013,6/1/2024,107.37,107.355,107.395,107.415,107.38,107.35,107.35,107.365,107.40,107.41,107.425,,
CA135087D507,2.25%,6/30/2014,6/1/2025,108.12,108.095,108.14,108.21,108.135,108.155,108.065,108.04,108.15,108.14,108.14,,
CA135087E679,1.5%,7/21/2015,6/1/2026,105.47,105.415,105.49,105.55,105.47,105.495,105.385,105.365,105.53,105.565,105.56,,
CA135087F825,1.0%,8/3/2016,6/1/2027,102.89,102.825,102.935,103.025,102.895,102.965,102.78,102.715,102.93,102.96,102.955,,
CA135087H235,2%,8/1/2017,6/1/2028,109.86,109.82,109.91,110.07,109.92,110.03,109.70,109.65,109.94,110.06,109.97,,
CA135087J397,2.25%,7/27/2018,6/1/2029,108.12,108.095,108.14,108.21,108.135,108.155,108.065,108.04,108.15,108.14,108.14,,
CA135087J546,2.25%,10/5/2018,3/1/2024,106.18,106.15,106.21,106.23,106.19,106.12,106.16,106.16,106.17,106.2,106.2,,
CA135087J967,1.500%,4/5/2019,9/1/2024,104.14,104.17,104.33,104.16,104.14,104.15,104.1,104.16,104.23,104.14,104.17,,
CA135087K528,1.250%,10/11/2019,3/1/2025,103.605,103.575,103.61,103.66,103.595,103.61,103.53,103.505,103.6,103.595,103.59,,
CA135087K940,0.5%,4/3/2020,9/1/2025,100.36,100.32,100.365,100.42,100.34,100.355,100.24,100.22,100.32,100.315,100.315,,
CA135087L443,0.500%,10/5/2020,12/1/2030,96.39,96.33,96.46,96.59,96.36,96.52,96.08,95.96,96.41,96.52,96.49,,
CA135087L518,0.250%,10/9/2020,3/1/2026,98.85,98.81,98.86,98.92,98.835,98.835,98.685,98.66,98.775,98.77,98.765,,
CA135087L690,0.250%,10/16/2020,4/1/2024,100.00,99.95,99.965,99.97,99.93,99.915,99.915,99.9,99.915,99.945,99.93,,
CA135087VH40,9.000%,8/2/1994,6/1/2025,136.82,136.8,136.87,136.995,136.93,136.975,136.9,136.875,137.055,137.055,137.08,,
CA135087VW17,8.000%,5/1/1996,6/1/2027,146.035,145.955,146.115,146.29,146.15,146.26,146.04,145.985,146.3,146.36,146.36,,
CA135087WL43,5.750%,2/2/1998,6/1/2029,140.48,140.43,140.59,140.85,140.64,140.79,140.35,140.23,140.7,140.81,140.75,,
